mcc,desc
168,"Оптика, оптические товары и очки"
169,Больницы
170,Зубные и медицинские лаборатории
171,"Практикующие врачи, медицинские услуги, нигде ранее не классифицируемые"
172,"Колледжи, университеты, профессиональные школы и младшие колледжи"
173,Школы — бизнес и секретарей
174,Образовательные услуги
175,Организации благотворительные и общественные службы
176,"Ассоциации — гражданские, социальные и братские"
177,"Организации, членства, нигде ранее не классифицируемые"
178,"Профессиональные услуги, нигде ранее не классифицируемые"
179,"Судовые выплаты, включая алименты и детскую поддержку"
180,Штрафы
181,Налоговые платежи
182,"Правительственные услуги, нигде ранее не классифицируемые"
183,Почтовые услуги — только правительство
